Country,Continent,ISO_Code,Level,GDLCODE,Region,Year,surfacetempyear,totprecipyear
Tunisia,Africa,TUN,National,TUNt,Total,2022,20.72,0.006
Turkey,Asia/Pacific,TUR,National,TURt,Total,2022,12.31,0.022
Turkmenistan,Asia/Pacific,TKM,National,TKMt,Total,2022,17.35,0.006
Turks & Caicos Islands,America,TCA,National,TCAt,Total,2022,26.35,0.023
Uganda,Africa,UGA,National,UGAt,Total,2022,23.2,0.044
Ukraine,Europe,UKR,National,UKRt,Total,2022,9.934,0.021
United Arab Emirates,Asia/Pacific,ARE,National,AREt,Total,2022,28.85,0.001
United Kingdom,Europe,GBR,National,GBRt,Total,2022,10.75,0.03
United States of America,America,USA,National,USAt,Total,2022,12.05,0.032
Uruguay,America,URY,National,URYt,Total,2022,17.01,0.029
Uzbekistan,Asia/Pacific,UZB,National,UZBt,Total,2022,13.91,0.015
Vanuatu,Asia/Pacific,VUT,National,VUTt,Total,2022,26.09,0.108
Vatican City,Europe,VAT,National,VATt,Total,2022,17.2,0.022
Venezuela,America,VEN,National,VENt,Total,2022,24.94,0.06
Vietnam,Asia/Pacific,VNM,National,VNMt,Total,2022,24.82,0.073
Yemen,Asia/Pacific,YEM,National,YEMt,Total,2022,24.12,0.01
Zambia,Africa,ZMB,National,ZMBt,Total,2022,22.04,0.043
Zimbabwe,Africa,ZWE,National,ZWEt,Total,2022,21.05,0.026
